Product_Name,Price,Rating,RnR,Page,Processor,RAM,Storage,Battery,Screen_size,Brand,Front_camera
"POCO C50 (Country Green, 32 GB)",6249.0,4.4,"1,674 Ratings & 81 Reviews",4,Mediatek Helio A22 Processor0 GHz Processor,2 GB RAM, 32 GB ROM,5000 mAh Lithium Polymer Battery,"['16.56 cm', '6.52 inch']",2, 5MP Front
"OPPO K10 5G (Midnight Black, 128 GB)",16999.0,4.4,"56,932 Ratings & 4,273 Reviews",4,Mediatek Dimensity 810 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.66 cm', '6.56 inch']",8, 8MP Front
"MOTOROLA g82 5G (Meterorite Grey, 128 GB)",18999.0,4.2,"6,374 Ratings & 833 Reviews",4,Qualcomm Snapdragon 695 5G Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",6, 16MP Front
"POCO M4 Pro (Cool Blue, 128 GB)",13999.0,4.3,"13,407 Ratings & 1,179 Reviews",4,Mediatek Helio G96 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.33 cm', '6.43 inch']",8, 16MP Front
"POCO M4 Pro 5G (Power Black, 128 GB)",15999.0,4.2,"11,155 Ratings & 924 Reviews",4,Mediatek Dimensity 810 Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium-ion Polymer Battery,"['16.76 cm', '6.6 inch']",8, 16MP Front
"MOTOROLA g82 5G (White Lily, 128 GB)",20499.0,4.1,"3,781 Ratings & 471 Reviews",4,Qualcomm Snapdragon 695 5G Processor,8 GB RAM, 128 GB ROM,5000 mAh Lithium Battery,"['16.76 cm', '6.6 inch']",8, 16MP Front
"SAMSUNG Galaxy F23 5G (Copper Blush, 128 GB)",16999.0,4.3,"1,50,272 Ratings & 12,137 Reviews",4,Qualcomm Snapdragon 750G Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Battery,"['16.76 cm', '6.6 inch']",6, 8MP Front
"OPPO K10 (Black Carbon, 128 GB)",13990.0,4.4,"1,00,169 Ratings & 7,347 Reviews",4,Qualcomm Snapdragon 680 Processor,6 GB RAM, 128 GB ROM,5000 mAh Lithium Ion Battery,"['16.74 cm', '6.59 inch']",6, 16MP Front
"POCO M4 5G (Cool Blue, 64 GB)",11999.0,4.2,"50,344 Ratings & 4,012 Reviews",4,Mediatek Dimensity 700 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Ion Polymer Battery,"['16.71 cm', '6.58 inch']",4, 8MP Front
"realme C35 (Glowing Black, 64 GB)",11999.0,4.4,"1,64,076 Ratings & 9,648 Reviews",4,Unisoc Tiger T616 Processor,4 GB RAM, 64 GB ROM,5000 mAh Lithium Polymer Battery,"['16.76 cm', '6.6 inch']",4, 8MP Front
